# Node ID	X Coordinate	Y Coordinate	Z Coordinate
      238    -8.519620902E-02    -1.565171552E-02    -6.023281553E-02
      239    -2.359839621E-02    -5.866943015E-02    -4.274731041E-02
      240     2.359804701E-02     5.865725789E-02    -4.273012674E-02
      241     9.400637317E-02    -4.024450996E-02    -5.788007369E-02
      242    -9.527657890E-02    -4.035121481E-02    -5.816508494E-02
      243     9.443939292E-02     4.144708467E-02    -5.770872366E-02
      244    -9.439395340E-02     4.146136239E-02    -5.764691046E-02
      245    -5.163225140E-02    -5.136679334E-02    -4.763180784E-02
      246    -5.113649537E-02     5.116795399E-02    -4.753635792E-02
      247     5.122847300E-02    -5.138873144E-02    -4.751770358E-02
      248     5.408781553E-02     2.832379219E-02    -5.340182089E-02
      249     5.073024956E-02     5.143414914E-02    -4.748338619E-02
      250    -5.410408161E-02     2.830140408E-02    -5.330199648E-02
      251    -1.189107161E-01     3.285645659E-03    -6.865346483E-02
      252     1.189369655E-01    -3.324377292E-03    -6.867071314E-02
      253     1.146746437E-01     1.431120514E-02    -6.700108551E-02
      254     8.243969257E-02    -2.142084052E-02    -5.901997322E-02
      255     8.269889684E-02     2.238267485E-02    -5.899254707E-02
      256    -1.146634275E-01    -1.433894924E-02    -6.698242259E-02
      257    -8.262371673E-02     2.241172722E-02    -5.887811929E-02
      258     1.059404238E-01     1.393179398E-02    -6.490743494E-02
      259    -1.052259571E-01    -1.446840905E-02    -6.467123715E-02
      260    -8.192575249E-02     5.032841305E-02    -5.271546926E-02
      261     8.194138913E-02    -5.033368184E-02    -5.274186594E-02
      262     8.192675933E-02     5.033458674E-02    -5.276388258E-02
      263    -8.201071771E-02    -5.028195245E-02    -5.280080926E-02
      264     3.244182561E-03     4.703526578E-02    -4.553687307E-02
      265    -3.236013365E-03    -4.706112143E-02    -4.556725721E-02
      266     8.816426466E-02     4.645014630E-02    -5.509419942E-02
      267     8.816983124E-02    -4.645173349E-02    -5.507082399E-02
      268    -8.815967296E-02     4.644950565E-02    -5.504428951E-02
      269    -8.846744992E-02    -4.628925705E-02    -5.520758994E-02
      270     1.117868856E-01    -2.093137231E-02    -6.555258945E-02
      271    -1.124780226E-01     2.096233694E-02    -6.571062458E-02
      272     4.470474047E-02     6.654243183E-03    -5.460536216E-02
